FID,pointid,grid_code,xx,yy,Num,,,
160,3312043,-2.0578599,-89.02326004,38.32053035,1,,,
161,3311663,-2.2189901,-89.02348866,38.32056123,1,,,
162,3311664,-2.6817,-89.02346563,38.32055992,1,,,
163,3311665,-2.5782199,-89.0234426,38.32055861,1,,,
164,3311669,-2.4623401,-89.02335047,38.32055338,1,,,
165,3311670,-2.3043499,-89.02332744,38.32055207,1,,,
166,3311671,-2.2209799,-89.02330441,38.32055076,1,,,
167,3311672,-2.2209799,-89.02328138,38.32054945,1,,,
168,3311283,-2.3743899,-89.02332575,38.32056986,1,,,
169,3308374,-2.21191,-89.04037889,38.32168084,1,,,
170,3308375,-2.21191,-89.04035586,38.32167953,1,,,
171,3308376,-2.06058,-89.04033283,38.32167822,1,,,
172,3308377,-2.3722799,-89.0403098,38.32167692,1,,,
173,3308378,-2.2261701,-89.04028677,38.32167561,1,,,
174,3308379,-2.1870401,-89.04026373,38.32167431,1,,,
175,3307950,-2.03894,-89.0403772,38.32169863,1,,,
176,3307951,-2.03894,-89.04035417,38.32169733,1,,,
177,3307952,-2.84955,-89.04033114,38.32169602,1,,,
178,3307954,-2.51984,-89.04028508,38.32169341,1,,,
179,3307955,-2.08603,-89.04026204,38.3216921,1,,,
180,3307567,-2.07898,-89.04032945,38.32171382,1,,,
181,3307191,-2.07898,-89.04032776,38.32173161,1,,,
182,3023507,-2.1412001,-89.13860076,38.34298781,1,,,
183,3016826,-2.2430699,-89.13823153,38.3434681,1,,,
184,2843523,-2.8764,-89.06166286,38.35344335,1,,,
185,2843524,-2.1060801,-89.06163982,38.35344204,1,,,
186,2843251,-2.8764,-89.06166117,38.35346114,1,,,
187,2843252,-2.1060801,-89.06163813,38.35345984,1,,,
188,2842998,-2.97931,-89.06168253,38.35348024,1,,,
189,2842999,-2.28918,-89.06165949,38.35347894,1,,,
190,2842720,-2.35425,-89.06170389,38.35349934,1,,,
191,2842722,-2.0122099,-89.0616578,38.35349673,1,,,
192,2825336,-2.0994899,-89.14288487,38.35957846,1,,,
193,2825337,-2.0994899,-89.14286182,38.35957717,1,,,
194,5517498,-2.4052701,-88.96192312,38.25005784,1,,,
195,5461546,-2.1394,-88.93403673,38.24990379,1,,,
196,5460982,-2.39505,-88.93405802,38.24992291,1,,,
197,5460983,-2.64832,-88.93403501,38.24992159,1,,,
198,5460398,-2.87766,-88.93405631,38.24994071,1,,,
199,5460399,-2.9837601,-88.9340333,38.24993938,1,,,
200,5460400,-2.6149299,-88.93401029,38.24993806,1,,,
201,5459793,-2.7103,-88.9340776,38.24995983,1,,,
202,5459795,-2.9216599,-88.93403159,38.24995718,1,,,
203,5459191,-2.1094999,-88.93400686,38.24997365,1,,,
204,5458523,-2.5106201,-88.93407417,38.24999542,1,,,
205,5458524,-2.5495601,-88.93405117,38.24999409,1,,,
206,5457853,-2.5106201,-88.93407246,38.25001321,1,,,
207,5457854,-2.5495601,-88.93404945,38.25001188,1,,,
208,4368282,-2.09021,-88.95368761,38.27919728,1,,,
209,4368283,-2.09021,-88.95366459,38.27919596,1,,,
210,4368284,-2.1038499,-88.95364157,38.27919464,1,,,
211,4335556,-2.10342,-88.95422018,38.28015828,1,,,
212,4335557,-2.10342,-88.95419716,38.28015696,1,,,
213,4272295,-2.2487199,-88.88238697,38.27790903,1,,,
214,4272296,-2.4844401,-88.88236395,38.2779077,1,,,
215,4271701,-2.30252,-88.88236223,38.27792549,1,,,
216,4271702,-2.0508399,-88.88233921,38.27792415,1,,,
217,3940406,-2.3298299,-88.88763253,38.28873461,1,,,
218,3920113,-2.3417101,-88.94172442,38.29287758,1,,,
219,3920114,-2.4096999,-88.9417014,38.29287626,1,,,
220,3919829,-2.6914999,-88.94174573,38.2928967,1,,,
221,3919831,-2.86026,-88.94169968,38.29289405,1,,,
222,3919517,-2.3308699,-88.94174401,38.29291449,1,,,
223,3919518,-2.70209,-88.94172099,38.29291317,1,,,
224,3919519,-2.3522601,-88.94169797,38.29291184,1,,,
225,3762385,-2.0437901,-88.86387033,38.2947989,1,,,
226,3762386,-2.35672,-88.86384731,38.29479756,1,,,
227,3761612,-2.1442001,-88.86400672,38.29482472,1,,,
228,3761618,-2.09378,-88.8638686,38.29481669,1,,,
229,3760817,-2.1442001,-88.86400499,38.29484251,1,,,
230,3760823,-2.09378,-88.86386686,38.29483448,1,,,
231,3760015,-2.19769,-88.86402628,38.29486165,1,,,
232,3760016,-2.12433,-88.86400326,38.29486031,1,,,
233,3760017,-2.0304599,-88.86398024,38.29485897,1,,,
234,3760018,-2.0057399,-88.86395721,38.29485763,1,,,
235,3584824,-2.23755,-89.01282037,38.30955945,1,,,
236,3584825,-2.60129,-89.01279734,38.30955814,1,,,
237,3584826,-2.9184899,-89.01277432,38.30955683,1,,,
238,3584827,-2.9184899,-89.01275129,38.30955552,1,,,
239,3584828,-2.1303699,-89.01272826,38.30955421,1,,,
240,3584829,-2.1321399,-89.01270523,38.3095529,1,,,
241,3584416,-2.7372401,-89.0128417,38.30957856,1,,,
242,3584424,-2.8342299,-89.01265748,38.30956807,1,,,
243,3584425,-2.6222501,-89.01263445,38.30956676,1,,,
244,3584041,-2.3310201,-89.01290909,38.30960029,1,,,
245,3584042,-2.51752,-89.01288606,38.30959897,1,,,
246,3584043,-2.39691,-89.01286303,38.30959766,1,,,
247,3584044,-2.08237,-89.01284001,38.30959635,1,,,
248,3584049,-2.2863801,-89.01272487,38.3095898,1,,,
249,3584050,-2.1701,-89.01270184,38.30958849,1,,,
250,3584051,-2.41061,-89.01267881,38.30958718,1,,,
251,3584052,-2.6705599,-89.01265578,38.30958587,1,,,
252,3584053,-2.52527,-89.01263275,38.30958456,1,,,
253,3584054,-2.46683,-89.01260973,38.30958325,1,,,
254,3584055,-2.55249,-89.0125867,38.30958193,1,,,
255,3584056,-2.4586201,-89.01256367,38.30958062,1,,,
256,3584057,-2.4586201,-89.01254064,38.30957931,1,,,
257,3136653,-2.01706,-88.88914007,38.32212175,1,,,
258,3136654,-2.0216701,-88.88911704,38.32212041,1,,,
259,2992413,-2.0253899,-88.88898271,38.33138145,1,,,
260,2920058,-2.05389,-89.00432324,38.3437678,1,,,
261,2920059,-2.2390101,-89.0043002,38.34376649,1,,,
262,2920060,-2.0788901,-89.00427716,38.34376518,1,,,
263,2919776,-2.0892301,-89.00432154,38.3437856,1,,,
264,2919777,-2.3010299,-89.0042985,38.34378429,1,,,
265,2919778,-2.24298,-89.00427546,38.34378297,1,,,
266,2919514,-2.3457899,-89.0042968,38.34380208,1,,,
267,2919515,-2.63379,-89.00427376,38.34380077,1,,,
268,2919516,-2.18539,-89.00425072,38.34379946,1,,,
269,2919276,-2.3457899,-89.0042951,38.34381988,1,,,
270,2919277,-2.63379,-89.00427206,38.34381856,1,,,
271,2919278,-2.18539,-89.00424903,38.34381725,1,,,
272,2919006,-2.1119699,-89.0042934,38.34383767,1,,,
273,2919007,-2.64832,-89.00427037,38.34383636,1,,,
274,2919008,-2.1406901,-89.00424733,38.34383505,1,,,
275,2918774,-2.6029999,-89.00426867,38.34385415,1,,,
276,2918775,-2.23016,-89.00424563,38.34385284,1,,,
277,2918536,-2.5165999,-89.00426697,38.34387195,1,,,
278,2918537,-2.5268199,-89.00424393,38.34387064,1,,,
279,2918538,-2.2629099,-89.00422089,38.34386932,1,,,
280,2918291,-2.0413799,-89.00426527,38.34388974,1,,,
281,2918292,-2.7841799,-89.00424223,38.34388843,1,,,
282,2918293,-2.0079,-89.00421919,38.34388712,1,,,
283,2918051,-2.2983999,-89.00426357,38.34390754,1,,,
284,2918052,-2.6360199,-89.00424053,38.34390623,1,,,
285,2918053,-2.2807901,-89.00421749,38.34390491,1,,,
286,2917818,-2.35938,-89.00423883,38.34392402,1,,,
287,2917819,-2.38763,-89.00421579,38.34392271,1,,,
288,2917820,-2.0021999,-89.00419275,38.3439214,1,,,
289,2917615,-2.1421499,-89.00423713,38.34394182,1,,,
290,2917616,-2.57883,-89.00421409,38.3439405,1,,,
291,2917617,-2.4370401,-89.00419106,38.34393919,1,,,
292,2917354,-2.1185,-89.00421239,38.3439583,1,,,
293,2917051,-2.1185,-89.0042107,38.34397609,1,,,
294,2886542,-2.02808,-88.97278334,38.34463309,1,,,
295,2886543,-2.2541499,-88.9727603,38.34463178,1,,,
296,2886544,-2.0165701,-88.97273726,38.34463046,1,,,
297,2886316,-2.08636,-88.97278163,38.34465089,1,,,
298,2886317,-2.39429,-88.97275859,38.34464957,1,,,
299,2886318,-2.2490499,-88.97273555,38.34464825,1,,,
300,2886103,-2.2913799,-88.97275689,38.34466737,1,,,
301,2886104,-2.3443301,-88.97273385,38.34466605,1,,,
302,2885880,-2.3548901,-88.97275518,38.34468516,1,,,
303,2885881,-2.4474499,-88.97273214,38.34468384,1,,,
304,2885882,-2.2822001,-88.9727091,38.34468252,1,,,
305,2885627,-2.32706,-88.97275347,38.34470296,1,,,
306,2885628,-2.5427899,-88.97273043,38.34470164,1,,,
307,2885629,-2.0589001,-88.9727074,38.34470032,1,,,
308,2885369,-2.32706,-88.97275177,38.34472075,1,,,
309,2885370,-2.5427899,-88.97272873,38.34471943,1,,,
310,2885371,-2.0589001,-88.97270569,38.34471811,1,,,
311,2885137,-2.3073101,-88.97272702,38.34473723,1,,,
312,2885138,-2.3417399,-88.97270398,38.34473591,1,,,
313,2884908,-2.4498899,-88.97272531,38.34475502,1,,,
314,2884909,-2.40256,-88.97270228,38.3447537,1,,,
315,2884910,-2.42346,-88.97267924,38.34475238,1,,,
316,2884911,-2.2588799,-88.9726562,38.34475107,1,,,
317,2884699,-2.2181399,-88.97272361,38.34477282,1,,,
318,2884700,-2.4481201,-88.97270057,38.3447715,1,,,
319,2884701,-2.53616,-88.97267753,38.34477018,1,,,
320,2884702,-2.40692,-88.97265449,38.34476886,1,,,
321,2884703,-2.0546899,-88.97263145,38.34476754,1,,,
322,2884704,-2.0546899,-88.97260842,38.34476622,1,,,
323,2884721,-2.70328,-88.97221676,38.34474381,1,,,
324,2884487,-2.3419199,-88.97269886,38.34478929,1,,,
325,2884488,-2.51706,-88.97267582,38.34478797,1,,,
326,2884489,-2.3357201,-88.97265279,38.34478666,1,,,
327,2884490,-2.0831001,-88.97262975,38.34478534,1,,,
328,2884491,-2.0831001,-88.97260671,38.34478402,1,,,
329,2884504,-2.0041499,-88.97230721,38.34476688,1,,,
330,2884505,-2.37466,-88.97228417,38.34476556,1,,,
331,2884506,-2.4144001,-88.97226113,38.34476424,1,,,
332,2884291,-2.2227499,-88.97267412,38.34480577,1,,,
333,2884292,-2.16574,-88.97265108,38.34480445,1,,,
334,2884293,-2.1263399,-88.97262804,38.34480313,1,,,
335,2884294,-2.1263399,-88.972605,38.34480181,1,,,
336,2884307,-2.37149,-88.9723055,38.34478468,1,,,
337,2884308,-2.8433499,-88.97228247,38.34478336,1,,,
338,2884076,-2.0134599,-88.97267241,38.34482356,1,,,
339,2884077,-2.2113299,-88.97264937,38.34482224,1,,,
340,2884078,-2.17062,-88.97262633,38.34482093,1,,,
341,2884079,-2.17062,-88.9726033,38.34481961,1,,,
342,2884086,-2.09326,-88.97244203,38.34481038,1,,,
343,2884087,-2.1957099,-88.97241899,38.34480906,1,,,
344,2884088,-2.1957099,-88.97239595,38.34480774,1,,,
345,2884089,-2.4136,-88.97237291,38.34480643,1,,,
346,2884090,-2.15448,-88.97234987,38.34480511,1,,,
347,2884091,-2.2994101,-88.97232684,38.34480379,1,,,
348,2884092,-2.84424,-88.9723038,38.34480247,1,,,
349,2883873,-2.06512,-88.97264767,38.34484004,1,,,
350,2883874,-2.13818,-88.97262463,38.34483872,1,,,
351,2883875,-2.13818,-88.97260159,38.3448374,1,,,
352,2883876,-2.1135299,-88.97257855,38.34483608,1,,,
353,2883877,-2.03882,-88.97255551,38.34483477,1,,,
354,2883878,-2.01456,-88.97253247,38.34483345,1,,,
355,2883881,-2.19592,-88.97246336,38.34482949,1,,,
356,2883882,-2.3549199,-88.97244032,38.34482817,1,,,
357,2883883,-2.50211,-88.97241728,38.34482686,1,,,
358,2883884,-2.50211,-88.97239424,38.34482554,1,,,
359,2883685,-2.1793201,-88.97257684,38.34485388,1,,,
360,2883686,-2.4517801,-88.97255381,38.34485256,1,,,
361,2883687,-2.6138301,-88.97253077,38.34485124,1,,,
362,2883688,-2.7515299,-88.97250773,38.34484992,1,,,
363,2883471,-2.1793201,-88.97257514,38.34487167,1,,,
364,2883472,-2.4517801,-88.9725521,38.34487036,1,,,
365,2883473,-2.6138301,-88.97252906,38.34486904,1,,,
366,2883474,-2.7515299,-88.97250602,38.34486772,1,,,
367,2883247,-2.10992,-88.97255039,38.34488815,1,,,
368,2883248,-2.5928299,-88.97252735,38.34488683,1,,,
369,2883249,-2.7202101,-88.97250431,38.34488551,1,,,
370,2883256,-2.8619399,-88.97234305,38.34487629,1,,,
371,2883257,-2.70541,-88.97232001,38.34487497,1,,,
372,2883259,-2.92133,-88.97227393,38.34487233,1,,,
373,2883260,-2.8864701,-88.97225089,38.34487101,1,,,
374,2883261,-2.83301,-88.97222785,38.34486969,1,,,
375,2883262,-2.8333399,-88.97220482,38.34486838,1,,,
376,2883033,-2.0440099,-88.97252565,38.34490463,1,,,
377,2883034,-2.2233901,-88.97250261,38.34490331,1,,,
378,2883035,-2.5556901,-88.97247957,38.34490199,1,,,
379,2883036,-2.9872401,-88.97245653,38.34490067,1,,,
380,2883037,-2.9861801,-88.97243349,38.34489935,1,,,
381,2883038,-2.9523001,-88.97241045,38.34489803,1,,,
382,2883039,-2.9523001,-88.97238742,38.34489672,1,,,
383,2883040,-2.73312,-88.97236438,38.3448954,1,,,
384,2883041,-2.4842801,-88.97234134,38.34489408,1,,,
385,2883042,-2.37714,-88.9723183,38.34489276,1,,,
386,2883043,-2.31271,-88.97229526,38.34489144,1,,,
387,2883044,-2.2431901,-88.97227222,38.34489012,1,,,
388,2883045,-2.6236,-88.97224919,38.34488881,1,,,
389,2883046,-2.6374199,-88.97222615,38.34488749,1,,,
390,2883047,-2.7358401,-88.97220311,38.34488617,1,,,
391,2882854,-2.14288,-88.97247786,38.34491978,1,,,
392,2882855,-2.2256501,-88.97245482,38.34491847,1,,,
393,2882856,-2.2340701,-88.97243179,38.34491715,1,,,
394,2882857,-2.1114199,-88.97240875,38.34491583,1,,,
395,2882858,-2.1114199,-88.97238571,38.34491451,1,,,
396,2882859,-2.27191,-88.97236267,38.34491319,1,,,
397,2882860,-2.12766,-88.97233963,38.34491187,1,,,
398,2882861,-2.1221299,-88.97231659,38.34491056,1,,,
399,2882862,-2.1461201,-88.97229356,38.34490924,1,,,
400,2882863,-2.04703,-88.97227052,38.34490792,1,,,
401,2882864,-2.1087,-88.97224748,38.3449066,1,,,
402,2882865,-2.19925,-88.97222444,38.34490528,1,,,
403,2882866,-2.3287399,-88.9722014,38.34490396,1,,,
404,2882701,-2.13779,-88.9721997,38.34492176,1,,,
405,5261841,-2.53268,-88.76087367,38.24526255,1,,,
406,5261842,-2.3346601,-88.76085067,38.24526119,1,,,
407,5260989,-2.1905501,-88.76087191,38.24528034,1,,,
408,5260990,-2.35934,-88.76084891,38.24527898,1,,,
409,4936909,-2.23773,-88.80298539,38.25443379,1,,,
410,4936910,-2.23773,-88.80296238,38.25443244,1,,,
411,4936911,-2.7330899,-88.80293937,38.25443109,1,,,
412,4936912,-2.7326,-88.80291637,38.25442974,1,,,
413,4936913,-2.6124301,-88.80289336,38.25442839,1,,,
414,4936186,-2.9546499,-88.80289161,38.25444618,1,,,
415,4936187,-2.1758399,-88.80286861,38.25444483,1,,,
416,4935409,-2.1041901,-88.8029819,38.25446937,1,,,
417,4935410,-2.1041901,-88.80295889,38.25446802,1,,,
418,4935413,-2.7172899,-88.80288987,38.25446397,1,,,
419,4934603,-2.06531,-88.80288812,38.25448177,1,,,
420,4292960,-2.02264,-88.70700155,38.2669819,1,,,
421,4292364,-2.0132799,-88.70702279,38.26700106,1,,,
422,4292365,-2.05829,-88.70699978,38.26699969,1,,,
423,4291779,-2.0350599,-88.70699801,38.26701748,1,,,
424,3942932,-2.06042,-88.74192713,38.28007706,1,,,
425,3933747,-2.05878,-88.77371222,38.28240063,1,,,
426,3933350,-2.91959,-88.77371047,38.28241842,1,,,
427,3931411,-2.98141,-88.77365567,38.28250467,1,,,
428,3931038,-2.98141,-88.77365392,38.28252246,1,,,
429,3930659,-2.1040599,-88.77369819,38.28254296,1,,,
430,3930288,-2.7291,-88.77369644,38.28256075,1,,,
431,3929943,-2.7645299,-88.77367167,38.28257719,1,,,
432,3851458,-2.9157701,-88.7777456,38.28657503,1,,,
433,3588339,-2.14447,-88.73025168,38.29300449,1,,,
434,3588340,-2.2371199,-88.73022866,38.29300312,1,,,
435,3588341,-2.4442699,-88.73020565,38.29300176,1,,,
436,3587119,-2.4158299,-88.73003923,38.29304559,1,,,
437,3586722,-2.4158299,-88.73003747,38.29306338,1,,,
438,3586325,-2.06036,-88.72994363,38.29307571,1,,,
439,3586326,-2.06036,-88.72992061,38.29307435,1,,,
440,3585908,-2.1106,-88.72980376,38.29308532,1,,,
441,3585487,-2.31635,-88.72975596,38.29310039,1,,,
442,3585488,-2.4358499,-88.72973294,38.29309902,1,,,
443,3585489,-2.4358499,-88.72970993,38.29309766,1,,,
444,3336656,-2.0610399,-88.78113429,38.30529579,1,,,
445,3336295,-2.0610399,-88.78113254,38.30531358,1,,,
446,3046001,-2.45926,-88.84917316,38.32466746,1,,,
447,2978552,-2.0215099,-88.84540529,38.33004879,1,,,
448,2978553,-2.0215099,-88.84538226,38.33004745,1,,,
449,2978089,-2.1247599,-88.84535575,38.33008169,1,,,
450,2976437,-2.0789499,-88.84539139,38.33019113,1,,,
451,2976438,-2.0789499,-88.84536836,38.33018979,1,,,
452,2584126,-2.2131,-88.75733866,38.35559351,1,,,
453,2583874,-2.10162,-88.75735994,38.35561266,1,,,
