species,dd long,dd lat
gully_high_revised_2,-88.73052621,38.29327129
gully_high_revised_2,-89.14423188,38.17461739
gully_high_revised_2,-89.12222505,38.23861247
gully_high_revised_2,-89.09523699,38.233661
gully_high_revised_2,-88.89220189,38.25616483
gully_high_revised_2,-88.76513754,38.26185259
gully_high_revised_2,-88.70706349,38.26682452
gully_high_revised_2,-89.13683327,38.2730821
gully_high_revised_2,-89.02528455,38.22941603
gully_high_revised_2,-89.0185171,38.27842999
gully_high_revised_2,-89.07224494,38.31943962
gully_high_revised_2,-89.09474965,38.23417028
gully_high_revised_2,-89.11006649,38.32154995
gully_high_revised_2,-89.11004345,38.32154866
gully_high_revised_2,-88.77287911,38.41744167
gully_high_revised_2,-88.95256184,38.19337303
gully_high_revised_2,-88.95256013,38.19339082
gully_high_revised_2,-89.09447442,38.28895393
gully_high_revised_2,-88.93360027,38.44562617
gully_high_revised_2,-89.04191599,38.21572567
gully_high_revised_2,-88.88022565,38.2646497
gully_high_revised_2,-89.07905139,38.18236766
gully_high_revised_2,-89.07904972,38.18238546
gully_high_revised_2,-88.7486215,38.15620586
gully_high_revised_2,-88.80756506,38.23675404
gully_high_revised_2,-88.92728415,38.24987245
gully_high_revised_2,-88.91111298,38.20102067
gully_high_revised_2,-88.80876262,38.24034953
gully_high_revised_2,-89.14349498,38.40702073
gully_high_revised_2,-89.0603827,38.25910285
gully_high_revised_2,-89.06038102,38.25912064
gully_high_revised_2,-89.07578746,38.29811673
gully_high_revised_2,-89.14433353,38.1747662
gully_high_revised_2,-89.08787295,38.18367063
gully_high_revised_2,-89.08787128,38.18368843
gully_high_revised_2,-88.76082591,38.24527762
gully_high_revised_2,-89.11268048,38.24444585
gully_high_revised_2,-88.70707058,38.26698601
gully_high_revised_2,-89.12628189,38.15110568
gully_high_revised_2,-89.14222636,38.40720042
gully_high_revised_2,-89.11602216,38.42997705
gully_high_revised_2,-89.11599909,38.42997576
gully_high_revised_2,-89.11602049,38.42999484
gully_high_revised_2,-89.11599742,38.42999355
gully_high_revised_2,-89.0443079,38.23879819
gully_high_revised_2,-89.04428489,38.23879688
gully_high_revised_2,-89.0188024,38.42397675
gully_high_revised_2,-88.97263999,38.34467857
gully_high_revised_2,-88.97261695,38.34467725
gully_high_revised_2,-88.94346576,38.43497396
gully_high_revised_2,-89.14319048,38.17339626
gully_high_revised_2,-89.13779981,38.18162813
gully_high_revised_2,-88.86921933,38.22076099
gully_high_revised_2,-89.09802996,38.14937397
gully_high_revised_2,-89.14318843,38.16624009
gully_high_revised_2,-89.14316545,38.1662388
gully_high_revised_2,-88.75031283,38.41534331
gully_high_revised_2,-88.75028977,38.41534195
gully_high_revised_2,-88.75031107,38.4153611
gully_high_revised_2,-88.75028801,38.41535974
gully_high_revised_2,-88.77369469,38.28257854
gully_high_revised_2,-89.13020156,38.15662111
gully_high_revised_2,-88.80603553,38.23607379
gully_high_revised_2,-88.80601253,38.23607244
gully_high_revised_2,-89.1089875,38.20199888
gully_high_revised_2,-88.82232681,38.15396186
gully_high_revised_2,-88.82230384,38.15396051
gully_high_revised_2,-89.0234741,38.32047094
gully_high_revised_2,-88.72480103,38.29613535
gully_high_revised_2,-89.10683072,38.12525193
gully_high_revised_2,-88.96068163,38.27408783
gully_high_revised_2,-88.94331288,38.43487572
gully_high_revised_2,-88.94331117,38.43489352
gully_high_revised_2,-88.94167495,38.29291052
gully_high_revised_2,-89.11765472,38.42913814
gully_high_revised_2,-89.09764311,38.44585326
gully_high_revised_2,-89.13532079,38.22347759
gully_high_revised_2,-89.13692201,38.27312284
gully_high_revised_2,-89.13689899,38.27312155
gully_high_revised_2,-89.06221255,38.35424371
gully_high_revised_2,-88.74737062,38.18385223
gully_high_revised_2,-89.11021267,38.32171917
gully_high_revised_2,-88.86636767,38.1292284
gully_high_revised_2,-89.11985487,38.28658663
gully_high_revised_2,-89.1198532,38.28660442
gully_high_revised_2,-88.72532828,38.47258304
gully_high_revised_2,-89.10662344,38.16488604
gully_high_revised_2,-89.10660045,38.16488475
gully_high_revised_2,-88.72479574,38.29618872
gully_high_revised_2,-88.78851539,38.12670779
gully_high_revised_2,-88.77892247,38.28614323
gully_high_revised_2,-88.83577695,38.47496694
gully_high_revised_2,-88.83575387,38.4749656
gully_high_revised_2,-89.14399789,38.22861447
gully_high_revised_2,-88.74739536,38.1838358
gully_high_revised_2,-88.83605736,38.47494748
gully_high_revised_2,-88.74199429,38.27986629
gully_high_revised_2,-88.89971535,38.16419817
gully_high_revised_2,-88.89969237,38.16419684
gully_high_revised_2,-88.77547527,38.18016184
gully_high_revised_2,-88.83936682,38.19178584
gully_high_revised_2,-88.83936508,38.19180363
gully_high_revised_2,-88.97233878,38.34467923
gully_high_revised_2,-88.97233708,38.34469702
gully_high_revised_2,-88.83822046,38.13907352
gully_high_revised_2,-88.83819749,38.13907218
gully_high_revised_2,-88.95571689,38.19614885
gully_high_revised_2,-88.71381936,38.13336294
gully_high_revised_2,-88.72628269,38.2186625
gully_high_revised_2,-88.72628093,38.21868029
gully_high_revised_2,-88.80867951,38.23789309
gully_high_revised_2,-89.13809816,38.17076759
gully_high_revised_2,-89.11179128,38.25958491
gully_high_revised_2,-88.83572473,38.47455234
gully_high_revised_2,-88.98928638,38.26584916
gully_high_revised_2,-88.92566455,38.47395956
gully_high_revised_2,-89.00621392,38.13199919
gully_high_revised_2,-88.72731874,38.29572981
gully_high_revised_2,-88.80583059,38.2362765
gully_high_revised_2,-88.73067801,38.28707045
gully_high_revised_2,-89.11764802,38.42920933
gully_high_revised_2,-88.77767718,38.30842089
gully_high_revised_2,-89.0873541,38.34165272
gully_high_revised_2,-88.76257285,38.13915341
gully_high_revised_2,-89.00588046,38.13210539
gully_high_revised_2,-89.04421587,38.23879297
gully_high_revised_2,-89.12641813,38.26693524
gully_high_revised_2,-88.71087434,38.44248545
gully_high_revised_2,-88.92577751,38.47375134
gully_high_revised_2,-88.73087166,38.26947249
gully_high_revised_2,-89.01875606,38.2788372
gully_high_revised_2,-88.75224939,38.22061208
gully_high_revised_2,-88.83516027,38.15197538
gully_high_revised_2,-88.78139598,38.30828176
gully_high_revised_2,-88.71547079,38.38257398
gully_high_revised_2,-88.95727471,38.17508922
gully_high_revised_2,-88.95725173,38.1750879
gully_high_revised_2,-89.13601601,38.24546772
gully_high_revised_2,-89.13601435,38.24548552
gully_high_revised_2,-89.14064692,38.25803514
gully_high_revised_2,-89.14064525,38.25805294
gully_high_revised_2,-89.14066706,38.26351062
gully_high_revised_2,-88.72558018,38.47215055
gully_high_revised_2,-89.14434018,38.17469501
gully_high_revised_2,-89.14433852,38.17471281
gully_high_revised_2,-88.75630225,38.14159225
gully_high_revised_2,-89.01403541,38.28441914
gully_high_revised_2,-88.82043952,38.14395548
gully_high_revised_2,-88.85081117,38.24021347
gully_high_revised_2,-88.85080944,38.24023126
gully_high_revised_2,-89.04590721,38.19653993
gully_high_revised_2,-89.14585539,38.31841857
gully_high_revised_2,-88.73011005,38.29303189
gully_high_revised_2,-89.1033211,38.45992951
gully_high_revised_2,-89.10331942,38.45994731
gully_high_revised_2,-89.1066444,38.12477628
gully_high_revised_2,-89.10662143,38.12477499
gully_high_revised_2,-89.12468192,38.26324202
gully_high_revised_2,-88.81658035,38.1508155
gully_high_revised_2,-88.81657861,38.15083329
gully_high_revised_2,-88.98940144,38.26585573
gully_high_revised_2,-89.09690788,38.22056963
gully_high_revised_2,-89.02322075,38.32045655
gully_high_revised_2,-89.08301138,38.26301078
gully_high_revised_2,-89.05533706,38.38498571
gully_high_revised_2,-88.81657335,38.45734846
gully_high_revised_2,-88.81655028,38.45734711
gully_high_revised_2,-88.81001261,38.23727337
gully_high_revised_2,-88.94429958,38.43498602
gully_high_revised_2,-89.13508537,38.21017201
gully_high_revised_2,-89.11985153,38.28662222
gully_high_revised_2,-89.11347432,38.19064009
gully_high_revised_2,-89.11345132,38.19063879
gully_high_revised_2,-88.76544142,38.29091454
gully_high_revised_2,-89.10996002,38.20198199
gully_high_revised_2,-88.70962538,38.44314514
gully_high_revised_2,-88.70960232,38.44314377
gully_high_revised_2,-88.70962361,38.44316293
gully_high_revised_2,-88.70960055,38.44316156
gully_high_revised_2,-89.11793582,38.42960113
gully_high_revised_2,-89.11793415,38.42961893
gully_high_revised_2,-89.06103806,38.18050812
gully_high_revised_2,-89.0565806,38.25600722
gully_high_revised_2,-89.11762663,38.42919024
gully_high_revised_2,-89.02161246,38.34707731
gully_high_revised_2,-89.02158942,38.347076
gully_high_revised_2,-88.91106871,38.20100022
gully_high_revised_2,-88.78098045,38.44934121
gully_high_revised_2,-89.09357468,38.23412201
gully_high_revised_2,-89.0182656,38.27839779
gully_high_revised_2,-88.88225751,38.27781205
gully_high_revised_2,-89.14581545,38.3188457
gully_high_revised_2,-88.72708686,38.29596661
gully_high_revised_2,-88.98941936,38.26591043
gully_high_revised_2,-88.73029772,38.29300721
gully_high_revised_2,-89.10845834,38.40810283
gully_high_revised_2,-89.12829633,38.26269313
gully_high_revised_2,-88.72528928,38.4727418
gully_high_revised_2,-89.0191885,38.31197929
gully_high_revised_2,-89.01916547,38.31197798
gully_high_revised_2,-88.75371746,38.24415987
gully_high_revised_2,-89.13814076,38.18218392
gully_high_revised_2,-89.09349763,38.23494064
gully_high_revised_2,-89.09349596,38.23495844
gully_high_revised_2,-89.11746975,38.19338707
gully_high_revised_2,-88.95710723,38.30528412
gully_high_revised_2,-89.10587131,38.12489377
gully_high_revised_2,-88.72723733,38.29585026
gully_high_revised_2,-88.80875931,38.23802303
gully_high_revised_2,-88.77365918,38.28246908
gully_high_revised_2,-88.78368928,38.17584999
gully_high_revised_2,-88.83241652,38.32265245
gully_high_revised_2,-89.13661381,38.27790015
gully_high_revised_2,-89.08276064,38.34075002
gully_high_revised_2,-88.75171863,38.25596015
gully_high_revised_2,-88.75171688,38.25597794
gully_high_revised_2,-89.02523516,38.229449
gully_high_revised_2,-89.13733194,38.15201148
gully_high_revised_2,-88.77536228,38.17849092
gully_high_revised_2,-89.12724605,38.23735538
gully_high_revised_2,-89.12722304,38.23735409
gully_high_revised_2,-89.13925197,38.16979456
gully_high_revised_2,-89.13925031,38.16981236
gully_high_revised_2,-88.76254988,38.13915205
gully_high_revised_2,-89.06050171,38.16686249
gully_high_revised_2,-89.0322587,38.22757607
gully_high_revised_2,-88.71077219,38.25512617
gully_high_revised_2,-88.71074918,38.2551248
gully_high_revised_2,-88.81157715,38.24491664
gully_high_revised_2,-89.11820857,38.4301531
gully_high_revised_2,-88.98951141,38.26591569
gully_high_revised_2,-88.78640299,38.37364202
gully_high_revised_2,-89.09093456,38.23637066
gully_high_revised_2,-89.13391847,38.21053603
gully_high_revised_2,-89.1339168,38.21055382
gully_high_revised_2,-89.09930916,38.27176466
gully_high_revised_2,-88.70278848,38.40050487
gully_high_revised_2,-89.09280732,38.24792621
gully_high_revised_2,-89.09278431,38.24792492
gully_high_revised_2,-88.81160016,38.24491799
gully_high_revised_2,-89.06225695,38.35426411
gully_high_revised_2,-89.06225526,38.3542819
gully_high_revised_2,-89.06523723,38.2897385
gully_high_revised_2,-89.06523555,38.2897563
gully_high_revised_2,-89.08410095,38.19648242
gully_high_revised_2,-88.75886219,38.14117099
gully_high_revised_2,-89.06033943,38.18007495
gully_high_revised_2,-89.01824088,38.27841427
gully_high_revised_2,-89.01821787,38.27841296
gully_high_revised_2,-88.9893324,38.26585179
gully_high_revised_2,-88.79348508,38.17213177
gully_high_revised_2,-88.79348333,38.17214956
gully_high_revised_2,-88.951998,38.2789571
gully_high_revised_2,-89.12577497,38.14467247
gully_high_revised_2,-88.70977222,38.13852672
gully_high_revised_2,-89.10053129,38.20859003
gully_high_revised_2,-88.79659337,38.1319613
gully_high_revised_2,-89.1426234,38.4071689
gully_high_revised_2,-89.14262173,38.4071867
gully_high_revised_2,-89.06709132,38.15115134
gully_high_revised_2,-89.14456892,38.26310256
gully_high_revised_2,-89.02528624,38.22939823
gully_high_revised_2,-88.72481699,38.29620788
gully_high_revised_2,-88.76516055,38.26185395
gully_high_revised_2,-89.09352408,38.23392236
gully_high_revised_2,-89.0980333,38.14933838
gully_high_revised_2,-89.14099427,38.20631645
gully_high_revised_2,-89.1409926,38.20633425
gully_high_revised_2,-88.82208065,38.1470222
gully_high_revised_2,-89.01819485,38.27841165
gully_high_revised_2,-88.82211852,38.14639811
gully_high_revised_2,-89.1113373,38.25973832
gully_high_revised_2,-89.03929066,38.26681779
gully_high_revised_2,-89.02928019,38.21608138
gully_high_revised_2,-88.80829762,38.2368328
gully_high_revised_2,-88.76586875,38.26429368
gully_high_revised_2,-89.04419118,38.23880946
gully_high_revised_2,-88.809317,38.23705363
gully_high_revised_2,-89.13629665,38.2444458
gully_high_revised_2,-89.13627364,38.24444451
gully_high_revised_2,-88.7625746,38.13913562
gully_high_revised_2,-89.12540207,38.26321081
gully_high_revised_2,-88.78143032,38.30558163
gully_high_revised_2,-88.83537119,38.4743707
gully_high_revised_2,-88.7522034,38.22060936
gully_high_revised_2,-88.7521804,38.220608
